::1 - - [25/Dec/2019:05:48:25 +0000] "GET /api/pieces/name/test HTTP/1.1" 200 204 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:48:37 +0000] "GET /api/museum/name/test HTTP/1.1" 200 193 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:51:31 +0000] "GET /api/museums HTTP/1.1" 200 749 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:51:40 +0000] "DELETE /api/museums/5e02f76c24eb219a8c6b95ad HTTP/1.1" 200 236 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:51:43 +0000] "GET /api/museums HTTP/1.1" 200 582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:51:51 +0000] "DELETE /api/museums/5e02f7f9c124448388df8ec0 HTTP/1.1" 200 236 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:51:55 +0000] "GET /api/museums HTTP/1.1" 200 415 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:52:05 +0000] "DELETE /api/museums/5e02f7396a71488230c7fd1e HTTP/1.1" 200 236 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:52:09 +0000] "GET /api/museums HTTP/1.1" 200 248 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
::1 - - [25/Dec/2019:05:52:44 +0000] "GET /api/pieces HTTP/1.1" 200 530 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
